0,dart,time,velocity
0,286,3880,3310
0,287,56,1585
0,287,367,1615
0,287,509,1650
0,287,610,1680
0,287,760,1690
0,287,895,1720
0,287,1048,1749
0,287,1163,1784
0,287,1370,1900
0,287,1570,2010
0,287,1860,2270
0,287,1990,2350
0,287,2174,2460
0,287,2323,2534
0,287,2471,2650
0,287,2707,2780
0,287,2997,2920
0,287,3880,3310
0,288,56,1585
0,288,367,1615
0,288,509,1650
0,288,620,1660
0,288,763,1690
0,288,872,1720
0,288,1048,1749
0,288,1156,1780
0,288,1370,1900
0,288,1570,2010
0,288,1860,2250
0,288,1990,2340
0,288,2167,2420
0,288,2337,2529
0,288,2460,2625
0,288,2707,2780
0,288,2997,2920
0,288,3880,3310
0,289,56,1585
0,289,367,1615
0,289,504,1630
0,289,620,1680
0,289,760,1710
0,289,872,1720
0,289,1048,1749
0,289,1146,1779
0,289,1360,1890
0,289,1570,2020
0,289,1857,2270
0,289,1990,2345
0,289,2167,2435
0,289,2337,2529
0,289,2462,2620
0,289,2730,2760
0,289,2997,2920
0,289,3880,3310
0,290,56,1585
0,290,367,1615
0,290,504,1630
0,290,620,1680
0,290,750,1690
0,290,872,1720
0,290,1048,1749
0,290,1150,1785
0,290,1360,1890
0,290,1570,2020
0,290,1850,2260
0,290,1980,2340
0,290,2160,2430
0,290,2357,2560
0,290,2462,2645
0,290,2733,2785
0,290,2997,2920
0,290,3880,3310
0,291,56,1585
0,291,359,1605
0,291,504,1650
0,291,606,1675
0,291,750,1710
0,291,872,1720
0,291,1029,1749
0,291,1153,1780
0,291,1360,1890
0,291,1560,2010
0,291,1850,2270
0,291,1980,2360
0,291,2160,2430
0,291,2357,2565
0,291,2458,2640
0,291,2733,2785
0,291,2997,2920
0,291,3880,3310
0,292,56,1585
0,292,359,1605
0,292,504,1650
0,292,610,1670
0,292,750,1710
0,292,872,1720
0,292,1029,1749
0,292,1150,1794
0,292,1350,1890
0,292,1560,2020
0,292,1850,2260
0,292,1980,2340
0,292,2156,2440
0,292,2327,2565
0,292,2439,2640
0,292,2733,2785
0,292,2997,2920
0,292,3880,3310
0,293,56,1585
0,293,359,1605
0,293,504,1650
0,293,610,1670
0,293,750,1720
0,293,870,1730
0,293,1029,1749
0,293,1150,1765
0,293,1350,1890
0,293,1560,2020
0,293,1850,2245
0,293,1980,2360
0,293,2160,2410
0,293,2350,2530
0,293,2439,2610
0,293,2733,2785
0,293,2997,2920
0,293,3880,3310
0,294,56,1585
0,294,359,1605
0,294,504,1650
0,294,600,1670
0,294,740,1700
0,294,870,1730
0,294,1029,1749
0,294,1143,1785
0,294,1350,1890
0,294,1560,2020
0,294,1850,2280
0,294,1977,2325
0,294,2160,2425
0,294,2350,2530
0,294,2439,2610
0,294,2773,2785
0,294,2997,2920
0,294,3880,3310
0,295,56,1585
0,295,314,1615
0,295,470,1640
0,295,600,1660
0,295,728,1690
0,295,870,1730
0,295,1029,1749
0,295,1140,1795
0,295,1350,1900
0,295,1550,2020
0,295,1840,2280
0,295,1970,2360
0,295,2161,2440
0,295,2336,2525
0,295,2439,2610
0,295,2773,2785
0,295,3880,3310
0,296,56,1585
0,296,314,1615
0,296,470,1640
0,296,600,1670
0,296,740,1720
0,296,870,1730
0,296,1029,1749
0,296,1136,1780
0,296,1350,1910
0,296,1550,2020
0,296,1840,2280
0,296,1970,2340
0,296,2142,2430
0,296,2332,2525
0,296,2439,2610
0,296,2787,2799
0,296,3880,3385
0,297,56,1585
0,297,314,1615
0,297,470,1640
0,297,580,1680
0,297,770,1710
0,297,870,1730
0,297,1029,1749
0,297,1121,1775
0,297,1340,1935
0,297,1538,2050
0,297,1840,2290
0,297,1970,2360
0,297,2142,2435
0,297,2335,2569
0,297,2427,2630
0,297,2787,2799
0,297,3880,3385
0,298,56,1585
0,298,470,1640
0,298,600,1680
0,298,730,1700
0,298,870,1730
0,298,1014,1764
0,298,1130,1800
0,298,1340,1900
0,298,1550,2020
0,298,1840,2280
0,298,1970,2370
0,298,2146,2470
0,298,2338,2584
0,298,2423,2645
0,298,2787,2799
0,298,3880,3385
0,299,56,1585
0,299,470,1640
0,299,590,1660
0,299,730,1710
0,299,870,1730
0,299,1006,1749
0,299,1141,1785
0,299,1340,1900
0,299,1540,2020
0,299,1830,2270
0,299,1970,2370
0,299,2153,2450
0,299,2338,2584
0,299,2435,2625
0,299,2787,2799
0,299,3880,3385
0,300,56,1585
0,300,470,1640
0,300,590,1665
0,300,760,1700
0,300,870,1730
0,300,1006,1749
0,300,1122,1799
0,300,1340,1910
0,300,1536,2039
0,300,1830,2260
0,300,1960,2340
0,300,2150,2420
0,300,2338,2584
0,300,2438,2640
0,300,2808,2855
0,300,3880,3385
