Line-Trace,Pred-TVs,Lable-TVs,Dffirence
970_2100,9,12,-3
970_2150,8,14,-6
970_2250,3,16,-13
970_2350,7,14,-7
970_2400,3,15,-12
970_2450,4,16,-12
970_2500,5,15,-10
970_2600,4,13,-9
970_2650,2,13,-11
970_2700,2,12,-10
970_2750,2,12,-10
970_2800,1,15,-14
970_2850,3,11,-8
970_2950,1,15,-14
970_3000,1,11,-10
970_3050,1,12,-11
970_3150,4,13,-9
970_3200,9,15,-6
970_3250,9,13,-4
970_3300,10,15,-5
970_3400,12,15,-3
970_3450,11,14,-3
970_3500,9,14,-5
1000_1650,2,14,-12
1000_1750,6,17,-11
1000_1800,1,17,-16
1000_1850,1,17,-16
1000_1900,1,16,-15
1000_2000,2,17,-15
1000_2050,5,16,-11
1000_2100,2,15,-13
1000_2150,1,12,-11
1000_2200,1,14,-13
1000_2250,2,13,-11
1000_2300,3,12,-9
1000_2350,2,15,-13
1000_2400,1,12,-11
1000_2550,1,15,-14
1000_2600,1,15,-14
1000_2650,3,13,-10
1000_2750,1,13,-12
1000_2800,4,13,-9
1000_2850,1,16,-15
1000_2900,1,13,-12
1000_2950,2,13,-11
1000_3050,5,14,-9
1000_3100,2,14,-12
1000_3150,2,15,-13
1000_3200,7,14,-7
1000_3250,6,16,-10
1000_3300,8,15,-7
1000_3350,8,16,-8
1000_3400,7,13,-6
1000_3500,7,14,-7
DiffAll,DiffAll,DiffAll,-11681
Mean,5,17,-12
Median,5,17,-12
